Date,Close,High,Low,Open,Volume,MA5,MA20,RSI14
2025-06-12,1031.25390625,1046.0565938995217,1031.25390625,1041.1223646830144,25221606,,,0.0
2025-06-13,1016.451171875,1026.319629854369,1011.5169428853155,1026.319629854369,28393455,,,0.0
2025-06-16,1011.5169677734375,1016.4511968845275,1001.6485095512576,1016.4511968845275,28580673,,,0.0
2025-06-17,1031.25390625,1036.1881354665072,1021.3854478169857,1026.3196770334928,26517379,,,53.22471437843869
2025-06-18,1041.122314453125,1041.122314453125,1016.4511695608708,1026.3196275177725,37931721,1026.3196533203125,,63.64406512605433
2025-06-19,1021.385498046875,1031.2539569652022,1016.4512685877113,1031.2539569652022,24002557,1024.3459716796874,,43.009244348348695
2025-06-20,1041.122314453125,1041.122314453125,1011.51694058242,1016.4511695608708,57831332,1029.2802001953125,,57.75841696563488
2025-06-23,1006.5827026367188,1016.4511605057062,1001.648473702225,1011.5169315712125,32143872,1028.2933471679687,,38.8229268379995
2025-06-24,1036.18798828125,1036.18798828125,1026.31953125,1031.2537597656249,28163537,1029.2801635742187,,53.03536799877715
2025-06-25,1055.925048828125,1055.925048828125,1041.1223612277308,1046.0565904278621,38783736,1032.2407104492188,,59.748960616501584
2025-06-26,1060.8592529296875,1065.7934820130813,1050.9907947628997,1060.8592529296875,36056692,1040.1354614257812,,61.24065485301864
2025-06-27,1065.79345703125,1065.79345703125,1046.0565411603009,1055.9249990957755,32549027,1045.0696899414063,,62.72819211900466
2025-06-30,1046.056640625,1065.7935583726414,1046.056640625,1060.8593289357311,32413717,1052.9644775390625,,53.82896786269663
2025-07-01,1070.7276611328125,1080.5961188391057,1060.8592034265193,1065.793432279666,44299887,1059.872412109375,,61.23268473456929
2025-07-02,1070.7276611328125,1070.7276611328125,1055.9249745733728,1060.8592034265193,23822731,1062.8329345703125,,61.23268473456929
2025-07-03,1075.661865234375,1090.4645514531967,1075.661865234375,1090.4645514531967,36973556,1065.79345703125,,62.622909663504124
2025-07-04,1070.7276611328125,1085.5303476922525,1065.793432279666,1080.5961188391057,20363322,1066.7802978515624,,60.294384707910176
2025-07-07,1065.79345703125,1070.7276859989872,1055.9249990957755,1065.79345703125,18829372,1070.7276611328125,,57.9729435000371
